Premise Site Survey Form

Site Name:,,,Leamington,,,Date:,07/11/23
Purchase Order #,,,43436727,,,By:,Jay and Arin
P,,,90 S. Center,,,Contact:,Jay
City State Zip,,,Leamington Ut

Line#,Door#,Cyl Quan,Brand,Type,Finish,Hand,Backset,Cam/Tail,Quan Keys,Key ID,Remarks,Ord,Pin,Inst
E,1,1,VD,RIM,10B,R,,RIM,,GU,NORTH MAIN ENTRANCE
P,2,1,SCHLAGE,KIK,COPPER,R,2 3/4,LONG,,GU,ROOM #1 PRIESTHOOD RM PASSAGE KNOB
P,3,1,SCHLAGE,KIK,COPPER,R,2 3/4,LONG,,GU,ROOM #2 PRIESTHOOD RM PASSAGE KNOB
P,4,1,SCHLAGE,KIK,COPPER,L,2 3/4,LONG,,GU,ROOM #3 PRIESTHOOD RM PASSAGE KNOB
,5,1,SCHLAGE,KIK,COPPER,R,2 3/4,LONG,,MECH,AIR CONDITIONING UNIT IN NORTH HALL
,6,1,SCHLAGE,KIK,COPPER,R,2 3/4,LONG,,C1,CLERK LEAMINGTON WARD
,7,1,SCHLAGE,KIK,COPPER,L,2 3/4,LONG,,B1,BISHOP LEAMINGTON WARD
,8,1,SCHLAGE,KIK,COPPER,R,2 3/4,LONG,,C1,CLERK LEAMINGTON WARD EAST OF BISHOP IN CORNER
P,9,1,SCHLAGE,KIK,COPPER,L,2 3/4,LONG,,GU,SACRAMENT PREP/ELECT PANEL PASSAGE KNOB
,10,1,SCHLAGE,RIM,COPPER,L,,RIM,,GU,NE CHAPEL ENTRANCE FROM HALL
,11,1,SCHLAGE,RIM,COPPER,L,,RIM,,GU,NE CULTURAL HALL ENTRANCE
,12,1,SCHLAGE,RIM,COPPER,R,,RIM,,GU,NORTH CENTER CULTURAL HALL ENTRANCE
P,13,1,SCHLAGE,KIK,COPPER,L,2 3/4,LONG,,GU,CLASSROOM #4 PASSAGE KNOB
P,14,1,SCHLAGE,KIK,COPPER,R,2 3/4,LONG,,GU,CLASSROOM #5 PASSAGE KNOB
,15,1,SCHLAGE,KIK,COPPER,R,2 3/4,LONG,,R1,RELIEF SOCIETY/HUMANITARIAN AID CLOSET
,16,1,SCHLAGE,KIK,COPPER,R,2 3/4,LONG,,MECH,HEATING AND COOLING
P,17,1,SCHLAGE,KIK,COPPER,L,2 3/4,LONG,,GU,CLASSROOM #7 PASSAGE KNOB
