Premise Site Survey Form

Site Name:,,,N57 5003637,,,Date:,08/21/23
Purchase Order #,,,43430912,,,By:,Jay and Angel
Address,,,608 W 1400 S,,,Contact:,Jay Jones
City State Zip,,,Payson Ut. 84651

Line#,Door#,Cyl Quan,Brand,Type,Finish,Hand,Backset,Cam/Tail,Quan Keys,Key ID,Remarks,Ord,Pin,Inst
,1,1,Sch,Rim,26D,R,,Rim,,GU,East main entrance
,2,1,Sch,Lever,26D,L,,Med,,B1,Payson 12th ward bishop
,3,1,Sch,Lever,26D,R,,Med,,C1,Payson 12th ward clerk
,4,1,Sch,Lever,26D,L,,Med,,B2,Maple bishop
,5,1,Sch,Lever,26D,L,,Med,,C2,Maple ward clerk
,6,1,Sch,Lever,26D,L,,Med,,B3,Spring lake 3rd ward bishop office
,7,1,Sch,Lever,26D,L,,Med,,C3,Spring lake 3rd ward clerk
,8,1,Sch,Lever,26D,L,,Med,,MC,Library
,9,1,Sch,Lever,26D,R,,Med,,MC,Library
,10,1,sch,DB,26D,R,,DB,,Sport,Sport closet and gymnasium
,11,1,sch,Lever,26D,R,,Med,,Mech,North west corner hall storage room
,12,1,Sch,Lever,26D,Dummy,,Dummy,,Dummy,Existing dummy cyl. outside north entrance
,13,1,Sch,Lever,26D,R,,Med,,Font,Womans dressing to font
,14,1,Sch,Lever,26D,L,,Med,,Font,Mens dressing to font
,15,1,Sch,DB,26D,R,,DB,,Font,RS to Font
,16,1,Sch,Lever,26D,L,,med,,RSall,Stake relief society
,17,1,Sch,Lever,26D,L,,Med,,AV,Classroom to mezzanine
,18,1,Sch,Lever,26D,R,,Med,,AV,Outside to mezzanine
,19,1,sch,DB,26d,R,,DB,,GU,Multi purpose room to kitchen
,20,1,sch,Lever,26D,R,,Med,,HC,High cancel room
,21,1,Sch,lever,26D,R,,Med,,SC,Stake Clerk
,22,1,Sch,lever,26D,R,,Med,,SC,Stake clerk office
,23,1,Sch,lever,26D,L,,Med,,SC,Stake suit to high cancel chamber
,24,1,Sch,lever,26D,R,,Med,,SM,Stake president to high cancel
,25,1,sch,lever,26D,R,,Med,,SM,Stake president to stake suit
,26,1,Sch,lever,26D,L,,Med,,SC,Chapel to stake suit
,27,1,sch,lever,26D,R,,Rim,,Dummy,"Outside to stake suit, has dummy"
,28,1,sch,lever,26D,R,,Rim,,Dummy,"West entrance, existing dummy"
,29,1,sch,lever,26D,R,,Med,,Mech,Outise fire riser
,30,1,sch,lever,26D,R,,Med,,Mech,Outside eletrical room
,31,2,Sch,DB/Lever,26D,L,,Med/DB,,Snow,Snow blower shed
,32,2,Sch,DB/Lever,26D,L,,Med/DB,,Aux?,Auxilery
,33,2,Sch,DB/Lever,26D,L,,Med/Db,,Aux?,Auxilery
,34,2,Sch,DB/Lever,26D,L,,Med/DB,,Aux?,Auxilery
,35,1,padlock,pl,,,,padlock,,trash,trash container
