Premise Site Survey Form

Site Name:,,,N21,,,Date:,09/23/23,,,,Install new locks on building
Purchase Order #,,,43436725,,,By:,Jay and Angel
Address,,,8060 E 36500 N,,,Contact:,Jay Jones,,,,Key box code 3900
City State Zip,,,Indianola UT

Line#,Door#,Cyl Quan,Brand,Type,Finish,Hand,Backset,Cam/Tail,Quan Keys,Key ID,Remarks,Ord,Pin,Inst
,1,1,Marks,KIL,26D,L,,M,,MECH,Water Shed
,2,2,Schlage,DB/KIL,26D,R,,DB/M,,MECH,Well pump
,3,2,Schlage,DB/KIL,26D,L,,DB/M,,SNOW,Snow shed
,4,1,Schlage,DB/KIL,26D,R,,DB/M,,AUX1,Indianola ward north west closet door
,5,1,Schlage,DB/KIL,26D,R,,DB/M,,AUX1,West closet YW
,6,1,Schlage,DB/KIL,26D,R,,DB/M,,AUX1,West closet girls camp
,7,1,Schlage,KIL,26D,R,,M,,MECH,Outdoor eletrical access
,8,1,Schlage,KIL,26D,R,,M,,MECH,Fire riser
,9,1,VD,Rim,26D,R,,Rim,,GU,East main entrance
,10,1,Schlage,KIL,26D,R,,M,,B2,Birdseye Branch President
,11,1,Schlage,KIL,26D,L,,M,,C2,Birdseye Branch Clerk
,12,1,Schlage,KIL,26D,R,,M,,C3,Spare clerks office
,13,1,Schlage,KIL,26D,L,,M,,FHC,Family history
,14,1,Schlage,KIL,26D,L,,M,,GU,East culteral hall closet
,15,1,Schlage,KIL,26D,R,,M,,GU,West culteral hall closet
,16,1,Schlage,KIL,26D,R,,M,,GU,Members closet
,17,1,Schlage,KIL,26D,R,,M,,GU,S101 table and chairs storage
,18,1,Schlage,KIL,26D,R,,M,,GU,Kitchen to hall
,19,1,Schlage,KIL,26D,R,,M,,GU,Kitchen to multi-purpose
,20,1,Schlage,KIL,26D,L,,M,,MECH/TECH,Classroom to mezzanine
,21,1,Schlage,KIL,26D,R,,M,,MECH,Outside to mezzanine
,22,1,Schlage,KIL,26D,L,,M,,MECH,Air control in closet
,23,1,Schlage,KIL,26D,L,,M,,MC,Library
,24,1,Schlage,KIL,26D,R,,M,,MC,Library
,25,1,VD,Rim,26D,R,,Rim,,GU,West main entrance
,26,1,Schlage,KIL,26D,R,,M,,C1,Indianola Clerk
,27,1,Schlage,KIL,26D,L,,M,,B1,Indianola bishop
,28,1,Schlage,KIL,26D,,,M
,29,1,Schlage,KIL,26D,,,M
,30,1,Schlage,KIL,26D,,,M
,31,1,Schlage,KIL,26D,,,M
,32,1,Schlage,KIL,26D,,,M
,33,1,Schlage,KIL,26D,,,M
,34

,,,,,,,,,,,,,,,UX1
