Premise Site Survey Form

Site Name:,,,N58 5050804,,,Date:,08/24/23
Purchase Order #,,,43430916,,,By:,Jay and Angel
Address,,,12625 S Spring Lake RD,,,Contact:,Jay Jones
City State Zip,,,Spring Lake 84651

Line#,Door#,Cyl Quan,Brand,Type,Finish,Hand,Backset,Cam/Tail,Quan Keys,Key ID,Remarks,Ord,Pin,Inst
,1,1,Sargent,Rim,Copper,R,,Rim/Dummy,,Dummy,West entrance
,2,2,DB,DB,Copper,R,,DB,,GU,Double side db from foyer to gym
,3,,,,,,,,,,Passage
,4,2,AR,AR,26D,,,AR,,GU,gym to chapel
,5,1,Schlage,kil,Copper,L,,M,,GU,Hall to chapel
,6,1,Schlage,kil,Copper,R,,M,,C2,Spring lake 2nd ward clerk
,7,1,Schlage,kil,Copper,L,,M,,B2,Spring lake 2nd ward bishop
,8,1,Schlage,kil,Copper,R,,M,,B2,Clerk to bishop spring lake 2nd ward
,9,1,DB,DB,26D,L,,DB,,Mech,Storage under stairs
,10,1,Schlage,kil,Copper,L,,M,,Mech,Basement to boyler room
,11,1,DB,DB,O3,L,,DB,,Mech,Boyler room to outside
,12,1,Schlage,kil,Copper,R,,M,,A2,Spring lake 2nd ward auxilery
,13,1,Schlage,kil,Copper,R,,M,,A1,Spring lake 1st Auxilery
,14,1,Schlage,kil,Copper,R,,M,,A2,Spring lake 2nd ward auxilery
,15,1,Schlage,kil,Copper,R,,M,,A1,Spring lake 1st ward auxilery
,16,1,Schlage,kil,Copper,R,,M,,GU,lower hall to sacrament prep
,17,1,Schlage,kil,Copper,R,,M,,Mech,Basement to mechanical
,18,1,Sargent,Rim,Copper,R,,Rim/dummy,,Dummy,North main entrance
,19,1,Schlage,kil,Copper,R,,M,,Mech/AV,Upstairs to mechanical
,20,1,Schlage,kil,Copper,R,,M,,MC,Library
,21,1,Schlage,kik,26D,L,,L,,MC,Library
,22,1,Schlage,kil,Copper,L,,M,,MC,Library
,23,1,Schlage,kil,Copper,R,,M,,RS2,Upstairs closet Spring lake 2nd ward
,24,1,Schlage,kil,Copper,R,,M,,RS1,Upstairs closet Spring lake 1st ward
,25,1,Schlage,kik,O3,L,,L,,Mech,Upstairs to mechanical
,26,1,Schlage,kil,Copper,L,,M,,B1,Spring lake 1st ward bishop
,27,1,Schlage,kil,Copper,L,,M,,B1,Spring lake 1st ward Clerk to bishop
,28,1,Schlage,kil,Copper,L,,M,,C1,Spring lake 1st ward Clerk
,29,1,DB,DB,Copper,R,,DB,,GU,Mens restroom
,30,1,Schlage,kil,Copper,L,,M,,GU,South hall to culteral hall
,31,1,Schlage,kil,Copper,L,,M,,GU,South hall to culteral hall
,32,1,Schlage,kil,Copper,R,,M,,Mech,Kitchen to mechanical
,33,3,Schlage,2DB/1L,Copper,L,,DB/L,,GU,Kitchen to outside
,34,1,Schlage,kil,Copper,R,,M,,GU,South hall to kitchen
,35,1,Sargent,Rim,Copper,R,,Rim,,Mech,South hall to outside
,36
,37,1,Schlage,kik,26D,L,,L,,MC,Library main level
Premise Site Survey Form

Site Name:,,,,,,Date:
Purchase Order #,,,,,,By:
Address,,,,,,Contact:
City State Zip

Line#,Door#,Cyl Quan,Brand,Type,Finnish,Hand,Backset,Cam/Tail,Quan Keys,Key ID,Remarks,Ord,Pin,Inst
,38,2,DB,DB,Copper,R,,DB,,GU,Stage to outside
,39,1,Falcon,kik,Copper
,40,1,Falcon,kik,Copper
,41,1,Falcon,kik,Copper
,24B,1,Schlage,kik,O3,R,,L,,Mech,Nursery to secret air handler
































Premise Site Survey Form

Site Name:,,,,,,Date:
Purchase Order #,,,,,,By:
Address,,,,,,Contact:
City State Zip

Line#,Door#,Cyl Quan,Brand,Type,Finnish,Hand,Backset,Cam/Tail,Quan Keys,Key ID,Remarks,Ord,Pin,Inst





































Premise Site Survey Form

Site Name:,,,,,,Date:
Purchase Order #,,,,,,By:
Address,,,,,,Contact:
City State Zip

Line#,Door#,Cyl Quan,Brand,Type,Finnish,Hand,Backset,Cam/Tail,Quan Keys,Key ID,Remarks,Ord,Pin,Inst





































Premise Site Survey Form

Site Name:,,,,,,Date:
Purchase Order #,,,,,,By:
Address,,,,,,Contact:
City State Zip

Line#,Door#,Cyl Quan,Brand,Type,Finnish,Hand,Backset,Cam/Tail,Quan Keys,Key ID,Remarks,Ord,Pin,Inst
