Premise Site Survey Form WARDS MUST UNLOCK ALL CLOSETS

Site Name:,,,N5,,,Date:,01/23/24,,,,Install new locks on building
Purchase Order #,,,43430968,,,By:,Jay and Arin
Address,,,351 N 100 W,,,Contact:,Jay Jones,,,,KEY CODE  0138
City State Zip,,,Nephi Ut,,,,,,,,C145

Line#,Door#,Cyl Quan,Brand,Type,Finish,Hand,Backset,Cam/Tail,Quan Keys,Key ID,Remarks,Ord,Pin,Inst
,1,1,Von Duprin,Rim,10B,L,,Rim,,GU,SW Entrance
,2,1,Schlage,KIL,26D,R,2 3/4,Medium,,GU,Hall to RS
,3,1,NightLatch,Rim,Bright Brass,R,2 3/4,Rim,,GU,Closet C Kitchen Goods in RS Room
,4,1,Schlage,KIL,26D,L,2 3/4,Medium,,GU,RS to Kitchen,,,,
,5,1,Schlage,KIL,26D,R,2 3/4,Medium,,RS1,Closet B 6th Ward RS in RS Room
,6,1,Schlage,KIL,26D,L,2 3/4,Medium,,RS2,Closet A 12th Ward RS in RS Room
,7,1,Schlage,KIL,26D,L,2 3/4,Medium,,GU,Cultural Hall to Kitchen
,8,1,Schlage,KIL,26D,R,2 3/4,Medium,,GU,Kitchen to Stage Platform
,9,1,Schlage,KIL,26D,L,2 3/4,Medium,,GU,Kitchen to Outside
,10,2,Schlage,KIL,26D,L,2 3/4,Medium,,Mech,Stage Platform to OS
Padlock,11,1,Padlock,,,,,,,Mech,Stairs Going to Attic on Platform
,12,1,Schlage,KIL,26D,L,2 3/4,Medium,,GU/Mech,7th Ward Quilting Material Closet S103
,13,1,Schlage,KIL,26D,L,2 3/4,Medium,,Mech,Mech Closet in Closet S103
,14,2,Won Door,Mort,26D,,1 1/8,A/R,,GU,South Cultural Hall Won Door to Hall
,15,1,Schlage,KIL,26D,L,2 3/4,Medium,,C1,6th Ward Clerk Office
,16,1,Schlage,KIL,26D,L,2 3/4,Medium,,Mech,Mech in South Hall
,17,1,Schlage,KIL,26D,R,2 3/4,Medium,,B1,6th Ward Bishop Office
,18,1,Schlage,KIL,26D,L,2 3/4,Medium,,B1,Clerk's Office to Bishop
,19,1,Schlage,KIL,26D,L,2 3/4,Medium,,Mech,Closet in Clerk's Office
,20,1,Schlage,KIL,26D,R,2 3/4,Medium,,B1,Closet in Bishop's Office
,21,2,Adams Rite,Mort,10B,R,,A/R,,GU,Glass Door Between Foyer and Cultural Hall
,22,1,Schlage,DB,26D,R,2 3/4,DB,,GU,South Foyer to Cultural Hall
,23,2,Von Duprin,Rim,26D,R/L,,Rim,,GU,Foyer to Overflow
,24,2,Von Duprin,Rim,26D,R/L,,Rim,,GU,Foyer to Chapel
,25,1,Von Duprin,Rim,10B,R,,Rim,,GU,SE Entrance
,26,1,Schlage,KIL,26D,R,2 3/4,Medium,,Mech,Mech Closet in Coat Room
Plate,27,1,Schlage,DB,26D,R,2 3/4,DB,,Cover,Replace Deadbolt to Women's Restroom
Plate,28,1,Schlage,DB,26D,R,2 3/4,DB,,Cover,Replace Deadbolt to Men's Restroom
,29,1,Schlage,KIL,26D,R,2 3/4,Medium,,B3,Nephi 8th Ward Bishop's Office
,30,1,Schlage,KIL,26D,L,2 3/4,Medium,,C3,Nephi 8th Ward Clerk's Office
,31,1,Dooromatic,Mort,10B,R,,A/R,,GU,South Facing West Entrance by Primary
,32,1,Von Duprin,Rim,26D,R,,Rim,,GU,Primary Entrance
,33,1,NightLatch,Rim,Bright Brass,R,2 3/4,Rim,,A2,12th Ward Primary Closet
,34,1,NightLatch,Rim,Bright Brass,R,2 3/4,Rim,,A1,6th Ward Primary Closet
,35,1,NightLatch,Rim,Bright Brass,R,2 3/4,Rim,,A3,8th Ward Primary Closet
,36,1,Marks,KIL,Bright Brass,L,2 3/4,WM,,Mech,Closet M101 in Primary Room
,37,1,NightLatch,Rim,Bright Brass,R,2 3/4,Rim,,GU,Multi Ward Storage in Primary Room
,38,1,Padlock,,,,,,,Mech,Padlock inside Door #37 - May need to cut off
,39,1,Sargent,Rim,10B,L,,Rim,,GU,OS to Primary Room
,40,1,Von Duprin,Rim,10B,R,,Rim,,GU,Funeral Door in Chapel
,41,1,Sargent,KIL,26D,R,2 3/4,Medium,,GU,Sacrament Prep Room
,42,1,Sargent,KIL,26D,L,2 3/4,Medium,,GU/AV,Left Side of Podium AV Closet
,43,1,Sargent,KIL,26D,L,2 3/4,Medium,,Mech,Mech Room Inside of AV Closet
,44,2,Von Duprin,Rim,26D,R/L,,Rim,,GU,North Foyer to Chapel Overflow
,45,2,Von Duprin,Rim,26D,R/L,,Rim,,GU,North Foyer to Chapel 
,46,2,Von Duprin,Rim,10B,R/L,,Rim,,GU,North Foyer to OS
,47,1,Sargent,KIL,26D,R,2 3/4,Medium,,GU,North Foyer to Mother's Room
,48,1,Schlage,KIL,26D,L,2 3/4,Medium,,GU,Closet S106 Book Storage
,49,1,Schlage,KIL,26D,L,2 3/4,Medium,,GU,Closet S107
,50,1,Schlage,DB,26D,R,,DB,,GU,North Foyer to Cultural Hall
,51,1,Schlage,KIL,26D,R,2 3/4,Medium,,A3,Closet S108
,52,1,Schlage,KIL,26D,R,2 3/4,Medium,,A1,6th Ward YW Closet S109
,53,1,Schlage,KIL,26D,R,2 3/4,Medium,,A2,YW Closet S110
,54,1,Schlage,DB,26D,R,2 3/4,DB,,GU,E Hall to N Hall
,55,1,Schlage,KIL,26D,R,2 3/4,Medium,,GU,Chair Storage Closet S105
,56,1,Schlage,KIL,26D,R,2 3/4,Medium,,Mech,Mech in Closet S105
,57,1,Schlage,KIL,26D,L,2 3/4,Medium,,Mech,Mech in Closet S105
,58,1,Schlage,KIL,26D,L,2 3/4,Medium,,Mech,Mech in Closet S105
,59,2,Won Door,Mort,26D,,,A/R,,GU,Won Door in Cultural Hall to N Hall 1 1/8 in Mort
,60,1,Schlage,KIL,26D,L,2 3/4,Medium,,GU,Chair Storage at West End of N Hall
,61,1,Von Duprin,Rim,10B,R,,Rim,,GU,NE Entrance
Plate,62,1,Schlage,DB,26D,L,2 3/4,Medium,,Cover,Men's Restroom in N Hall
Plate,63,1,Schlage,Db,26D,R,2 3/4,Medium,,Cover,Women's Restrooom in N Hall
,64,1,Schlage,KIL,26D,L,2 3/4,Medium,,B2,Nephi 12th Ward Bishop Office
,65,1,Schlage,KIL,26D,L,2 3/4,Medium,,C2,Nephi 12th Ward Clerk Office
,66,1,Schlage,KIL,26D,R,2 3/4,Medium,,C2,Closet in 12th Ward Clerk Office
,67,1,Schlage,KIL,26D,L,2 3/4,Medium,,B2,Clerk to Bishop Office 12th Ward
,68,1,Schlage,KIL,26D,L,2 3/4,Medium,,B2,Mother's room to Bishop's Office
,69,1,Schlage,KIL,26D,L,2 3/4,Medium,,MC,Library
,70,1,Schlage,KIL,26D,R,2 3/4,Medium,,MC,Library
,71,1,Schlage,KIL,26D,L,2 3/4,Medium,,SC,Stake Office
,72,1,Schlage,KIL,26D,R,2 3/4,Medium,,SC,Stake Suite
,73,1,Schlage,KIL,26D,R,2 3/4,Medium,,SC,Reception Area in Stake Suite
,74,1,Schlage,KIL,26D,L,2 3/4,Medium,,SC,Work Room in Stake Suite
