Premise Site Survey Form WARDS MUST UNLOCK ALL CLOSETS

Site Name:,,,N8,,,Date:,12/02/23,,,,Install new locks on building
Purchase Order #,,,43709355,,,By:,Jay and Arin
Address,,,151 S 200 W,,,Contact:,Jay Jones,,,,KEY CODE 5560
City State Zip,,,Fountain Green,,,,,,,,Keyway  C145

Line#,Door#,Cyl Quan,Brand,Type,Finish,Hand,Backset,Cam/Tail,Quan Keys,Key ID,Remarks,Ord,Pin,Inst
,1,1,Von Duprin,Rim,10B,R,,Rim,,GU,West Main OS Entrance
,2,1,Yale,KIL,26D,L,2 3/4,Yale,,B2,Bishop Fountain Green 2nd Ward
,3,1,Yale,KIL,26D,L,2 3/4,Yale,,C2,Clerk Fountain Green 2nd Ward
,4,1,Sargent,Rim,26D,L,,Rim,,GU,West Chapel Entrance,,,,
New Lever,5,1,Schlage,KIL,26D,L,2 3/4,short,,Mech,Mechanical Closet M4
,6,1,Sargent,Rim,26D,L,,Rim,,GU,WN Chapel Entrance
,7,1,Yale,KIL,26D,L,2 3/4,Yale,,MC,Closet S9 Library AV Equipment
New Lever,8,1,Schlage,KIL,26D,R,2 3/4,short,,B4,Bishop Branch President Moroni 6th
New Lever,9,1,Schlage,KIL,26D,L,2 3/4,short,,Mech,North closet air handler
New Lever,10,1,Schlage,KIL,26D,R,2 3/4,short,,A1/A2,Closet S11 in YW Room
New Lever,11,1,Schlage,KIL,26D,R,2 3/4,short,,AV,Closet S10 in East Hallway
New Lever,12,1,Schlage,KIL,26D,L,2 3/4,short,,Mech,Mechanical room M6 in East Hall
,13,1,Sargent,Rim,26D,R,,Rim,,GU,NE Chapel Door
New Lever,14,1,Schlage,KIL,26D,L,2 3/4,short,,MC,Library closet in East Hall
,15,1,Sargent,Rim,26D,R,,Rim,,GU,SE Chapel Door
,16,1,Von Duprin,Rim,10B,R,,Rim,,GU,East Main Entrance
,17,2,Won Door,Mortise,26D,,,,,GU,"1 1/4 "" Mortise Cylinder"
,18,2,Won Door,Mortise,26D,,,,,GU,Overflow to Cultural Hall
,19,1,Sargent,Rim,26D,L,,Rim,,GU,NE Cultural Hall Entrance
,20,2,Won Door,Mortise,26D,,,,,GU,Divides Cultural in Half
New Lever,21,1,Schlage,KIL,26D,L,2 3/4,short,,Mech,M1 Closet in East Hall
,22,1,Sargent,Rim,26D,L,,Rim,,GU,SE Cultural Hall Entrance
New Lever,23,1,Schlage,KIL,26D,L,2 3/4,short,,Mech,Door to upstairs by SE Cultural Hall Door
,24,1,Yale,KIL,26D,R,2 3/4,Yale,,A1/A2,Closet S1 in Primary Room
,25,1,Yale,KIL,26D,R,2 3/4,Yale,,A1?,Primary Closet in South Hall Closet S4
,26,1,Yale,KIL,26D,L,2 3/4,Yale,,A2,Closet in South Hall Scout S5
,27,1,Yale,KIL,26D,R,2 3/4,Yale,,A2,South Hall Closet S2
,28,1,Von Duprin,Rim,10B,L,,Rim,,GU,South Main Entrance
,29,1,Yale,KIL,26D,L,2 3/4,Yale,,RS1,Closet S3 in South Hall
,30,1,Yale,KIL,26D,R,2 3/4,Yale,,GU,Kitchen to RS Double Door
,31,1,Yale,KIL,26D,L,2 3/4,Yale,,GU,Kitchen to Hallway Door
,32,1,Von Duprin,Rim,10B,L,,Rim,,GU,Kitchen to OS
,33,1,Sargent,Rim,26D,R,,Rim,,GU,SW Cultural Hall Entrance
New Lever,34,1,Schlage,KIL,26D,L,2 3/4,short,,Mech,Closet S12 in West Hall
New Lever,35,1,Yale,KIL,26D,L,2 3/4,short,,Mech,Mechanical Closet M3 in West Hall
New Lever,36,1,Schlage,KIL,26D,R,2 3/4,short,,B3,Fountain Green 3rd Ward Bishop
,37,1,Yale,KIL,26D,R,2 3/4,Yale,,C1/C3,First and Third Ward Clerk
,38,1,Yale,KIL,26D,R,2 3/4,Yale,,B1,Fountain Green 1st Ward Bishop
,39,1,Sargent,Rim,26D,R,,Rim,,GU,North West Cultural hall
,40,1,Padlock,,,,,,,Mech,Padlock on West Side AC Units
New Lever,41,1,Schlage,KIL,26D,R,2 3/4,short,,A1,South most closet - Fountain Green First
New Lever,42,1,Schlage,KIL,26D,R,2 3/4,short,,A2,Flag Closet
New Lever,43,1,Schlage,KIL,26D,L,2 3/4,short,,A1,Flag Closet
New Lever,44,1,Schlage,KIL,26D,L,2 3/4,short,,SNOW,Snow Shed
