Premise Site Survey Form WARDS MUST UNLOCK ALL CLOSETS

Site Name:,,,N66,,,Date:,01/13/24,,,,Install new locks on building
Purchase Order #,,,44331855,,,By:,Jay and Arin
Address,,,50 N Main,,,Contact:,Jay Jones,,,,KEY CODE  4044
City State Zip,,,Genola,,,,,,,,C123

Line#,Door#,Cyl Quan,Brand,Type,Finish,Hand,Backset,Cam/Tail,Quan Keys,Key ID,Remarks,Ord,Pin,Inst
,1,0,Dooromatic,Rim,10B,L,,Dummy,,Dummy,SE Entrance Existing Dummy Lock
,2,1,Cal Royal,KIK,26D,L,2 3/4,Medium,,C2,Genola 2nd Ward Clerk
,3,1,Cal Royal,KIK,26D,R,2 3/4,Medium,,B2,Genola 2nd Ward Bishop
,4,1,,Rim,26D,R,,Dummy,,Dummy,SE Corner of Gym,,,,
,5,1,Schlage,KIK,26D,L,2 3/4,Long,,B1,Genola 1st Ward Bishop Office
,6,1,Schlage,KIK,26D,L,2 3/4,Long,,C1,Genola 1st Ward Clerk Office
,7,1,,Rim,26D,R,,Dummy,,,SW Cultural Hall Door
KIK/DB,8,2,Arrow,KIK/DB,26D,L,2 3/4,Long,,MC,Library
,9,1,Schlage,DB,Bright Brass,R,2 3/4,DB,,GU,Storage closet across from library
DB,10,1,Schlage,DB,26D,R,2 3/4,DB,,GU,Stage door on south
,11,1,VD,Rim,10B,R,,Dummy,,Dummy,"Existing dummy, SW Entrance"
Knob,12,1,Arrow,KIK,26D,R,2 3/4,Long,,FHC,Family History Center
Knob,13,1,Arrow,KIK,26D,L,2 3/4,Long,,FHC,Family History Center
,14,1,Schlage,DB,26D,L,2 3/4,Long,,Mech/AV,Audio Video Closet
Knob,15,1,Arrow,KIK,26D,R,2 3/4,Long,,Passage,Members' Closet
Knob,16,1,Arrow,KIK,26D,L,2 3/4,Long,,Mech ,Mechanical Air Handler in East Hall
,17,1,Von Duprin,Rim,10B,R,,Rim,,Dummy,"Existing dummy, NW Entrance"
Knob,18,1,Arrow,KIK,26D,L,2 3/4,Long,,Mech ,Air Handler Closet in North Hall
DB,19,1,Arrow,KIK,26D,L,2 3/4,Long,,GU,North Door to Stage
,20,1,,Rim,26D,R,,Dummy,,Dummy,NW Cultural Hall Door
,21,2,Won Door,Mort,26D,,,AR,,GU,Kitchen Won Door
2 Knob,22,2,Arrow,KIK,26D,L,2 3/4,Long,,GU,Kitchen Main Door
,23,1,,Rim,26D,R,,Rim,,Dummy,NE Cultural Hall Door
,24,1,,Rim,26D,R,,Rim,,Dummy,North Overflow Door
,25,1,Schlage,DB,Bright Brass,L,2 3/4,Long,,Mech ,Access to Ladder in Overflow
,26,1,Won Door,Mort,26D,,,AR,,GU,Won Door to Chapel
,27,1,Won Door,Mort,26D,,,AR,,GU,Overflow to Cultural Hall
,28,1,Sargent,Rim,26D,R,,Rim,,Dummy,N Chapel Entrance
,29,1,Arrow,KIK,26D,R,2 3/4,Long,,C3,Genola 4th Ward Clerk Office
,30,1,Arrow,KIK,26D,L,2 3/4,Long,,B3,Genola 4th Ward Bishop Office
,31,1,Von Duprin,Rim,10B,R,,Rim,,Mech ,N Main Entrance
,32,1,Schlage,DB,26D,R,2 3/4,DB,,SNOW,Snowshed Double Door
DB,33,1,Arrow,DB,26D,L,2 3/4,DB,,SNOW,Snowshed Single Door
,34
,35
,36
,37
,38
,39
,40
,41
,42
,43
,44
,45
,46
,47
,48
,49
,50
,51
