Premise Site Survey Form WARDS MUST UNLOCK ALL CLOSETS

Site Name:,,,N67,,,Date:,01/13/24,,,,Install new locks on building
Purchase Order #,,,44331857,,,By:,Jay and Arin
Address,,,75 S Center,,,Contact:,Jay Jones,,,,KEY CODE  4052
City State Zip,,,Goshen,,,,,,,,C123

Line#,Door#,Cyl Quan,Brand,Type,Finish,Hand,Backset,Cam/Tail,Quan Keys,Key ID,Remarks,Ord,Pin,Inst
,1,1,Sargent,Rim,26D,R,,Rim,,Mech,Main East Entrance
,2,1,Von Duprin,Rim,26D,R,,Rim,,GU,East Chapel Entrance
,3,2,Won Door,Mort,26D,,,AR,,GU,Won Door from Chapel to Overflow
,4,1,Von Duprin,Rim,26D,L,,Rim,,GU,SE Chapel Door,,,,
,5,1,Von Duprin,Rim,26D,R,,Rim,,GU,SW Chapel Door
,6,1,Von Duprin,Rim,26D,L,,Rim,,GU,NW Chapel Door
,7,1,Advantage,KIK,26D,R,2 3/4,Long,,MC,Library
,8,1,Schlage,KIK,26D,R,2 3/4,Long,,CB,Closet B in South Hall
,9,1,Schlage,KIK,26D,R,2 3/4,Long,,GU,Sacrament Prep Room
,10
,11
,12,1,Schlage,KIK,26D,R,2 3/4,Long,,CC,Closet C next to Stake Suite
,13,1,Schlage,KIK,26D,L,2 3/4,Long,,CC,Closet D next to Stake Suite
,14,1,Sargent,Rim,26D,L,,Rim,,Dummy,Existing Dummy West Main Entrance
,15,1,Marks,KIL,26D,R,2 3/4,Medium,,SC,Stake Office Hallway Entrance
,16,1,Schlage,KIL,26D,R,2 3/4,Medium,,SP,Stake President's Office to Hall
,17,1,Schlage,KIL,26D,R,2 3/4,Medium,,SP,High Council to Stake President's Office
,18,1,Schlage,KIL,26D,R,2 3/4,Medium,,SC,Stake Clerk's Office
,19,1,Schlage,KIL,26D,L,2 3/4,Medium,,HC,High Council Entrance
,20,1,Schlage,KIL,26D,R,2 3/4,Medium,,HC,Interview Room
,21,1,Schlage,KIL,26D,R,2 3/4,Medium,,Mech,Air Handler Room in Stake Suite
,22,1,Schlage,KIL,26D,R,2 3/4,Medium,,HC,High Council North Entrance
,23,1,Sargent,Rim,26D,R,,Rim,,Dummy,Existing Dummy in Stake Suite OS Entrance
,24,1,Von Duprin,Rim,26D,R,,Rim,,Dummy,Existing Dummy in SW Entrance to Cultural Hall
Lever,25,1,Arrow,KIL,26D,R,2 3/4,Medium,,GU,Chair Closet in Cultural Hall
Lever,26,1,Arrow,KIL,26D,R,2 3/4,Medium,,GU,Chair Closet in Cultural Hall
,27,1,Von Duprin,Rim,26D,R,,Rim,,Dummy,Existing Dummy in SE Cultural Hall
,28,1,Von Duprin,Rim,26D,R,,Rim,,Dummy,Existing Dummy in NE Cultural Hall
,29,1,Von Duprin,Rim,26D,L,2 3/4,Medium,,Dummy,Existing Dummy in N Cultural Hall Entrance
,30,1,Marks,Rim,26D,R,,Rim,,Dummy,Existing Dummy W Main Entrance
,31,1,Schlage,KIK,26D,R,2 3/4,Medium,,GU,Kitchen Main Entrance
,32,1,Schlage,KIK,26D,R,2 3/4,Medium,,GU,Kitchen Serving to Hall
,33,1,Schlage,KIK,26D,R,2 3/4,Medium,,GU,RS to Kitchen
,34,1,Schlage,KIK,26D,L,2 3/4,Medium,,CH,Closet H in RS Room
,35,1,Schlage,KIK,26D,R,2 3/4,Medium,,CG,Closet G in RS Room
,36,1,Sargent,Riim,26D,R,,Rim,,Dummy,Existing Dummy N Main Entrance
,37
,38,1,Schlage,KIK,26D,L,2 3/4,Medium,,Mech,Door to Downstairs Key Box Location
,39,1,Schlage,KIK,26D,L,2 3/4,Medium,,B1,Goshen 1st Ward Bishop Office
,40,1,Schlage,KIK,26D,R,2 3/4,Medium,,C1/C2/C3,Goshen 1st Ward Clerk Office
,41,1,Schlage,KIK,26D,R,2 3/4,Medium,,B2,Goshen 2nd Ward Bishop Office
,42,1,Schlage,KIL,26D,R,2 3/4,Medium,,B3,Goshen Valley Branch President Office
,43,1,Schlage,KIK,26D,R,2 3/4,Medium,,FHC,Family History Center
,44,1,Schlage,KIK,26D,L,2 3/4,Medium,,A2,2nd Ward Scout Closet
,45,1,Padlock,,,,,,,Snow,Snowshed Padlock
,46,1,Schlage,KIL,26D,L,2 3/4,Medium,,PAV,Women's Pavilion Restroom
,47,1,Schlage,KIL,26D,R,2 3/4,Medium,,PAV,Men's Pavilion Restroom
,48,1,Schlage,KIl,26D,R,2 3/4,Medium,,PAV,Pavilion Storage
,49
,50
,51
