Premise Site Survey Form

Site Name:,,,Oak City,,,Date:,07/11/23
Purchase Order #,,,43436731,,,By:,Jay and Arin,,,Jay
Address,,,35 E Center,,,Contact:,Jay
City State Zip,,,Oak City Ut

Line#,Door#,Cyl Quan,Brand,Type,Finish,Hand,Backset,Cam/Tail,Quan Keys,Key ID,Remarks,Ord,Pin,Inst
,1,1,VD,RIM,26D,R,,RIM,,GU,SOUTH OUTSIDE ENTRANCE
,2,1,SCHLAGE,KIK,26D,R,2 3/4,"1""",,RS 1,DOOR TO DOWNSTAIRS FROM HALL M108
,3,1,VD,RIM,26D,R,,RIM,,GU,OUTSIDE TO CENTER OPPOSITE OF KITCHEN
,4,1,SCHLAGE,KIK,26D,R,2 3/4,"1""",,AUX 2,OAKRIDGE 2ND WARD SCOUT CLOSET OS BY KITCHEN
,5,1,SCHLAGE,KIK,26D,R,2 3/4,"1""",,MECH,M109 HEATING/COOLING
,6,1,VD,RIM,26D,L,,RIM,,GU,OS FACING SHED
,7,1,SCHLAGE,KIK,26D,R,2 3/4,"1 1/2""",,MECH,M107 CUSTODIAL
E,8,1,SCHLAGE,KIK,26D,R,2 3/4,"1""",,MECH,M106 HEATING/COOLING WITH NETWORKING
,9,1,SCHLAGE,KIK,26D,R,2 3/4,"1 1/2""",,MC,LIBRARY
,10,1,SCHLAGE,KIK,26D,R,2 3/4,"1 1/2""",,MC,LIBRARY
,11,1,SCHLAGE,KIK,26D,R,2 3/4,"1 1/2""",,C1,OAK CITY 1ST WARD CLERK
,12,1,SCHLAGE,KIK,26D,R,2 3/4,"1 1/2""",,B1,OAK CITY 1ST WARD CLERK TO BISHOP
,13,1,SCHLAGE,KIK,26D,R,2 3/4,"1 1/2""",,B1,OAK CITY 1ST WARD BISHOP FROM HALL
,14,2,VD,RIM,26D,R/L,,RIM,,GU,SOUTH MAIN ENTRANCE
,15,1,SCHLAGE,KIK,26D,L,2 3/4,"1 1/2""",,GU,KITCHEN
NEW KNOB,16,1,MEDECO,KIK,26D,L,2 3/4,,,GU,KITCHEN TO OS
,17,1,AR,AR,26D,,,AR,,GU,KITCHEN  WON DOOR
E,18,1,VD,RIM,26D,R,,RIM,,GU,MAIN REAR ENTRANCE
,19,1,SCHLAGE,KIK,26D,R,2 3/4,"1""",,A1A2,OS CLOSET BY NORTH ENT ON STEPS
,20,1,SCHLAGE,KIK,26D,R,2 3/4,"1""",,MECH,M104 EAST STAGE MECHANICAL DOOR
,21,1,SCHLAGE,KIK,26D,L,2 3/4,"1""",,AUX ?,M103 WEST STAGE SCOUT CLOSET ABOVE STAGE
NEW KNOB,22,1,SCHLAGE,KIK,26D,R,2 3/4,"1 1/2""",,MECH,M105 OVERFLOW TO ATTIC
,23,1,VD,RIM,26D,R,,RIM,,GU,CHAPEL FUNERAL DOOR
,24,,,,,,,,,,ATTIC ACCESS FROM SACRAMENT PREP FROM CHAPEL
E,25,2,VD,RIM,26D,R/L,,RIM,,GU,SW OUTSIDE ENTRANCE
,26,1,SCHLAGE,KIK,26D,R,2 3/4,"1 1/2""",,C2,OAK CITY 2ND WARD CLERK
,27,1,SCHLAGE,KIK,26D,R,2 3/4,"1 1/2""",,B2,OAK CITY 2ND WARD BISHOP
,28,1,SCHLAGE,KIK,26D,L,2 3/4,"1""",,MECH,M101 ENTRANCE TO MEN'S RESTROOM MECHANICAL EQUIPMENT
,29,1,SCHLAGE,KIK,26D,L,2 3/4,"1 1/2""",,MECH,M102 CUSTODIAL CLOSET
,30,1,SCHLAGE,KIK,26D,L,2 3/4,"1 1/2""",,FHC,FAMILY HISTORY CENTER
,31,1,VD,RIM,26D,L,,RIM,,GU,NW ENTRANCE
NEW LEVER,32,1,SCHLAGE,KIL,26D,,,,,AUX1,SHED WEST STORAGE CLOSET FIRST WARD
NEW LEVER,33,1,SCHLAGE,KIL,,,,,,AUX2,OAK CITY 2ND SCOUT CLOSET OS
,34,1,,,,,,padlock,,MECH,A/C ACCESS NORTH SIDE
