Premise Site Survey Form WARDS MUST UNLOCK ALL CLOSETS

Site Name:,,,N11,,,Date:,12/02/23,,,,Install new locks on building
Purchase Order #,,,43709387,,,By:,Jay and Arin
Address,,,92 S 200 W,,,Contact:,Jay Jones,,,,KEY CODE 5108
City State Zip,,,Wales UT,,,,,,,,Keyway  C145

Line#,Door#,Cyl Quan,Brand,Type,Finish,Hand,Backset,Cam/Tail,Quan Keys,Key ID,Remarks,Ord,Pin,Inst
,1,1,Dor-o-matic,Rim,10B,R,,Rim,,GU,N Main Entrance
,2,1,Schlage,DB,26D,R,,DB,,A1,Closet in Primary Room - Sanpete Ward
,3,1,Schlage,KIK,26D,R,2 3/4,Long,,Mech,Mech in East Hall
,4,1,Von Duprin,Rim,26D,L,,Rim,,GU,NW Cultural Hall Entrance,,,,
,5,1,Schlage,KIK,26D,R,2 3/4,Long,,MC,Library
,6,1,Von Duprin,Rim,26D,L,,Rim,,GU,SE Cultural Hall Entrance
,7,1,Von Duprin,Rim,10B,L,,Rim,,GU,East Main Entrance
,8,1,Von Duprin,Rim,26D,R,,Rim,,GU,SE Cultural Hall Entrance
,9,1,Von Duprin,Rim,26D,L,,Rim,,GU,NE Chapel Entrance
,10,1,Schlage,KIK,26D,R,2 3/4,Long,,B2,Moroni 2nd Ward Bishop
,11,1,Von Duprin,Rim,26D,L,,Rim,,GU,SE Chapel Entrance
,12,1,Schlage,KIK,26D,R,2 3/4,Long,,Mech,ES Hall
,13,1,Schlage,KIK,26D,L,2 3/4,Long,,,Branch President Sanpete Branch
,14,1,Schlage,KIK,26D,L,2 3/4,Long,,,Clerk's office - 3 wards?
,15,1,Schlage,KIK,26D,R,2 3/4,Long,,B1,Sanpete Ward Bishop
,16,1,Von Duprin,Rim,10B,L,,Rim,,GU,South Main Entrance
,17,1,Schlage,KIK,26D,R,2 3/4,Long,,AV,Audio Video Room
New Deadbolt,18,1,Schlage DB,,,,,,,A1,Sanpete YW closet in YW room
,19,1,Schlage ,KIK,26D,R,2 3/4,Long,,Mech,Mech in SW Hall
,20,1,Von Duprin,Rim,26D,R,,Rim,,GU,SW Chapel Entrance
,21,1,Von Duprin,Rim,26D,R,,Rim,,GU,NW Chapel Entrance
1.5 inch cylinders,22,2,Won Door,,,,,Mort AR,,GU,Won Door between chapel and overflow
1.5 in cylinders,23,2,Won Door,,,,,Mort AR,,GU,Won Door divide cultural hall in half
,24,1,Von Duprin,Rim,26D,L,,Rim,,GU,SW Cultural Hall Entrance
1.5 inch cylinders,25,2,Won Door,,,,,Mort AR,,GU,Won Door divide cultural hall in half
,26,1,Von Duprin,Rim,10B,R,,Rim,,GU,Main West Entrance
,27,1,Von Duprin,Rim,26D,R,,Rim,,GU,West Middle Cultural Hall Entrance
,28,1,Schlage ,KIK,26D,R,2 3/4,Long,,Mech,NW Mech Room in Hall
,29,1,Von Duprin,Rim,26D,R,,Rim,,GU,NW Cultural Hall Entrance
,30,1,Schlage ,DB,26D,R,,DB,,GU,Kitchen Supply Closet in Cultural Hall
,31,1,Schlage ,DB,26D,L,,DB,,A1,Sanpete Nursery Closet
,32,1,Schlage ,KIK,26D,R,2 3/4,Long,,GU,Hall to Kitchen
,33,1,Schlage ,KIK,26D,R,2 3/4,Long,,GU,Kitchen 
,34,1,Von Duprin,Rim,10B,L,,Rim,,GU,Kitchen to Outside
,35,1,Schlage ,DB,26D,R,,DB,,GU,RS to Kitchen
New Deadbolt,36,1,Schlage ,DB,,L,,DB,,,Samoan Branch RS
New Deadbolt,37,1,Schlage ,DB,,R,,DB,,RS2,Moroni 2nd Ward RS Closet
New Deadbolt,38,1,Schlage ,DB,,L,,DB,6,RS1,Sanpete RS Closet
,39,1,Schlage ,KIK,26D,R,2 3/4,Long,,Mech,East Cultural Hall Mech Closet
,40,1,Schlage ,KIK,26D,R,2 3/4,Long,,Mech,East Cultural Hall Mech Closet
,41,1,Schlage ,KIK,26D,R,2 3/4,Long,,Mech,West Cultural Hall Mech Closet
,42,1,Schlage ,KIK,26D,R,2 3/4,Long,,Mech,West Cultural Hall Mech Closet
,43,1,Schlage ,KIK,26D,L,2 3/4,Long,,SNOW,Snow Shed
,44,1,Schlage ,KIK,26D,L,2 3/4,Long,,Mech,Boiler Room
,45,1,Schlage ,KIK,26D,L,2 3/4,Long,,Mech,Mech Storage Closet
