Premise Site Survey Form WARDS MUST UNLOCK ALL CLOSETS

Site Name:,,,N53,,,Date:,11/14/23,,,,Install new locks on building
Purchase Order #,,,43436779,,,By:,Jay and Arin
Address,,,345 W. 100 N.,,,Contact:,Jay Jones,,,,Key box code 9674
City State Zip,,,Santaquin UT 84655,,,,,,,,Keyway  C123

Line#,Door#,Cyl Quan,Brand,Type,Finish,Hand,Backset,Cam/Tail,Quan Keys,Key ID,Remarks,Ord,Pin,Inst
,1,1,,Riim,10B,,,Rim,,Dummy,OS West Main
,2,1,,KIK,26D,,,,,Mech,Air handler in west hall
,3,1,,KIK,26D,,,,,B1,Santaquin 14th Bishop
,4,1,,KIK,26D,,,,,B2,Santaquin 5th Bishop,,,,
,5,1,,KIK,26D,,,,,C2,Santaquin 5th Clerk
,6,1,,KIk,26D,,,,,B3,Santaquin 11th Bishop
,7,1,,KIk,26D,,,,,C3,Santaquin 11th Clerk
,8,1,,KIL,26D,,,,,Mech,North Hall Closet
,9,1,,KIk,26D,,,,,C1,Santaquin 14th Clerk
,10,1,,KIK,26D,,,,,SND,Sound Closet
,11,1,,KIL,26D,,,,,Mech,EN Hall Air Handler
,12,1,,Rim,10B,,,,,Dummy,Chapel East
,13,1,,Rim,10B,,,,,Dummy,Chapel West
,14,2,,Mort/AR,10B,,1 1/4,AR,,GU,Won Door
,15,1,,KIK,26D,,,,,C3,Santaquin 11 Storage Closet
,16,1,,KIK,26D,,,,,MC,Library
,17,1,,KIK,26D,,,,,MC,Library
,18,1,,Rim,10B,,,,,Dummy,OS East Main
,19,2,,Mort/AR,10B,,1 1/4,AR,,GU,Won Door in Cultural Hall
,20,2,,Mort/AR,10B,,1 1/4,AR,,GU,Won Door in Cultural Hall
,21,1,,KIL,26D,,,,,Mech,Air Handler in SE Hall
New DB,22,1,,DB,26D,,,DB,,GU,Table Storage in Cultural Hall
New DB,23,1,Schlage,DB,26D,,,DB,,GU,Stage Riser Platform Storage Center
New DB,24,1,Schlage,DB,26D,,,DB,,GU,Table Storage 
,25,1,,KIK,26D,,,,,Mech,Door to Attic
,26,1,,DB,26D,,,DB,,Mech,Closet in Mother's Lounge
,27,1,,Rim,10B,,,Rim,,Mech,South Entrance
,28,2,,Mort/AR,10B,,,AR,,GU,Won Door RS to Kitchen
,29,1,,DB,26D,,,DB,,Mech,Mech by Men's Restroom
,30,1,,KIK,26D,,,,,GU,Member's Custodial Closet
,31,1,,KIK,26D,,,,,GU,Kitchen
,32,1,,KIk,26D,,,,,Mech,Air Handler in SW Hall
,33,1,,Padlock,,,,,,Mech,Padlock on AC Gate
,34,1,,DB,,,,DB,,SNO,Outside shed door A
,35,1,,DB,,,,DB,,A2,Closet Bt
,36,1,,DB,,,,DB,,A1,Closet C
,37,1,,DB,,,,DB,,A3,Closet D 11th Ward
,38,1,,DB,,,,DB,,Mech,Closet E Sprinkler
,39,,,
,40
,41
,42
,43
,44
,45
,46
,47
,48
,49
,50
,51
,52
,53
,54
