Premise Site Survey Form WARDS MUST UNLOCK ALL CLOSETS

Site Name:,,,N9,,,Date:,12/02/23,,,,Install new locks on building
Purchase Order #,,,43709360,,,By:,Jay and Arin
Address,,,82 N Center,,,Contact:,Jay Jones,,,,KEY CODE 7256
City State Zip,,,Moroni Ut,,,,,,,,Keyway  C145

Line#,Door#,Cyl Quan,Brand,Type,Finish,Hand,Backset,Cam/Tail,Quan Keys,Key ID,Remarks,Ord,Pin,Inst
,1,1,Sargent,Rim,26D,L,,Rim,,GU,East Room by Kitchen to Outside
,2,1,Schlage,KIK,Copper,L,2 3/4,Medium,,GU,Kitchen to OS
,3,1,Von Duprin,Rim,26D,R,,Rim,,GU,East OS to Hallway
New Deadbolt,4,1,Schlage,,,L,,,,Font,Viewing room to men's side,,,,
New Deadbolt,5,1,Schlage,,,L,,,,Font,Font to men's dressing room
New Deadbolt,6,1,Schlage,,,L,,,,Font,Men's dressing room to bathroom
,7,1,Won Door,Mort,,,,AR Mort,,Font,Viewing room to font wondoor
New Deadbolt,8,1,Schlage,,,R,,,,Font,Viewing room to women's side
New Deadbolt,9,1,Schlage,,,,,,,Font,Font to Women's dressing room
New Deadbolt,10,1,Schlage,,,,,,,Font,Women's dressing room to bathroom
,11,1,Schlage,KIK,26D,R,2 3/4,Medium,,MC,TV Storage
,12,1,Von Duprin,Rim,26D,R,,Rim,,GU,West Entance
,13,1,Von Duprin,Rim,26D,R,,Rim,,GU,Funeral entrance into chapel
,14,1,Schlage,KIK,26D,R,2 3/4,Medium,,A4,Storage above stage
,15,1,Schlage,KIL,26D,R,2 3/4,Medium,,AV,Audio Video closet in double door multipurpose closet
Lever,16,1,,,26D,R,,,,Mech,Closet Y in multipurpose room to upstairs
Lever,17,1,,,26D,R,,,,Mech,Closet X in multipurpose room
Lever,18,1,,,26D,R,,,,GU,"Sargent 80 series schlage cylinder lever, N OS Cult"
,19,1,Schlage,KIK,26D,R,2 3/4,Medium,,Mech,Closet M101 in Classroom 303
,20,1,Schlage,KIK,26D,L,2 3/4,Medium,,MC,Library
,21,1,Schlage,KIK,26D,L,2 3/4,Medium,,MC,Library door
,22,1,Schlage,KIL,26D,R,2 3/4,Medium,,Mech,Closet in Room 306
,23,1,Schlage,KIK,26D,R,2 3/4,Medium,,Mech,Closet S105 in Primary Room
,24,1,Schlage,KIK,26D,R,2 3/4,Medium,,A1/A2/A3/A4,"Moroni 3rd, 1st, 4th, Samoan Primary Closet"
,25,1,Schlage,KIK,26D,R,2 3/4,Medium,,GU,Closet R in Sanpete Branch
,26,1,Schlage,KIK,26D,L,2 3/4,Medium,,GU,Sanpete Branch
,27,1,Schlage,KIL,26D,R,2 3/4,Medium,,A4,Moroni 4th Branch Storage Closet
Knob,28,1,Schlage,KIK,26D,R,2 3/4,Medium,,B1,Moroni 1st Bishop
,29,1,Schlage,KIK,26D,R,2 3/4,Medium,,B1,Clerk's office to bishop office
Knob,30,1,Schlage,KIK,26D,L,2 3/4,Medium,,C1,Clerk Moroni 1st
,31,1,Schlage,KIK,26D,R,2 3/4,Medium,,B4,Moroni 4th Branch President
Knob,32,1,Schlage,KIK,26D,R,2 3/4,Medium,,C3/C4,Moroni 3rd Clerk
Knob,33,1,Schlage,KIK,26D,R,2 3/4,Medium,,B3,Clerk's office to bishop office
Knob,34,1,Schlage,KIK,26D,L,2 3/4,Medium,,B3,Bishop Moroni 3rd Ward
,35,1,Von Duprin,Rim,26D,,,Rim,,GU,S Entrance OS by Bishops
Knob,36,1,,,,,,,,HC?,Closet Z in Rm 107 Downstairs Stake Closet
,37,1,Von Duprin,Rim,26D,L,,Rim,,HC,OS to stake suite
,38,1,Schlage,KIK,26D,R,2 3/4,Medium,,HC/B3,Stake Suite Entrance
,39,1,Schlage,KIK,26D,L,2 3/4,Medium,,B3,Moroni Turkey Farm Branch President
,40,1,Schlage,KIK,26D,R,2 3/4,Medium,,SC,Stake Clerk's Office
,41,1,Schlage,KIK,26D,R,2 3/4,Medium,,HC,High Council Room
,42,1,Schlage,KIK,26D,L,2 3/4,Medium,,SP,High Council Room to Stake President Office
,43,1,Schlage,KIK,26D,L,2 3/4,Medium,,SP,Stake President Office
,44,1,Schlage,KIK,26D,L,2 3/4,Medium,,Mech,Downstairs to boiler room
,45,1,Schlage,KIL,26D,L,2 3/4,Medium,,Mech,OS Air Handler Room
,46,1,Schlage,KIL,26D,R,2 3/4,Medium,,A4,Moroni 1st Scout Closet Attic Access
,47,2,Schlage,DB/KIK,26D,L,2 3/4,Medium,,A3,Moroni 3rd Scout Closet
,48,2,Schlage,DB/KIK,26D,L,2 3/4,Medium,,SNOW,Snow Closet
,49,1,Schlage,KIK,26D,L,2 3/4,Medium,,Mech
,50,1,Padlock,,,,,,,Mech,North Side AC Control
,51,1,Padlock,,,,,,,Mech,North Side AC Control
