Premise Site Survey Form WARDS MUST UNLOCK ALL CLOSETS

Site Name:,,,N65,,,Date:,01/13/24,,,,Install new locks on building
Purchase Order #,,,44331849,,,By:,Jay and Arin
Address,,,12800 W 15300 S,,,Contact:,Jay Jones,,,,KEY CODE  4052
City State Zip,,,Elberta,,,,,,,,C123

Line#,Door#,Cyl Quan,Brand,Type,Finish,Hand,Backset,Cam/Tail,Quan Keys,Key ID,Remarks,Ord,Pin,Inst
,1,1,Von Duprin,Rim,10B,R,,Rim,,Dummy,Existing Dummy N Entrance
,2,1,Sodro,Rim,26D,L,,Rim,,GU,NE Chapel Entrance
Knob,3,1,Arrow,KIK,26D,R,2 3/4,Long,,B3,Genola 3rd Ward Bishop
Knob,4,1,Arrow,KIK,26D,R,2 3/4,Long,,Mech,Mechanical Closet in N Hall,,,,
Knob,5,1,Arrow,KIK,26D,L,2 3/4,Long,,Mech/AV,Door to Mezzanine Key Box
,6,1,Von Duprin,Rim,10B,R,,Rim,,Dummy,Existing Dummy E Main Entrance
,7,1,,,,,,,,,Change to Passage
,8,,,,,,,,,,Change to Passage
,9,,,,,,,,,,Change to Passage
,10,1,Von Duprin,Rim,10B,L,,Rim,,Dummy,Existing Dummy RS OS Entrance
,11,2,Won Door,Mort,10B,,,AR,,GU,Won Door to Kitchen from RS
,12,,,,,,,,,Filler Plate,Install Filler Plate on Member's Closet to Cover DB Hole
Knob,13,1,Arrow,KIK,26D,R,2 3/4,Long,,GU,Kitchen to Hall Entrance
Knob,14,1,Arrow,KIK,26D,L,2 3/4,Long,,Mech,Mechanical Custodial Closet
Knob,15,1,Arrow,KIK,26D,R,2 3/4,Long,,Mech,Mechanical Double Door in S Hall
DB,16,1,Arrow,DB,26D,R,2 3/4,DB,,GU,Chair and Table Storage
DB,17,1,Arrow,DB,26D,R,2 3/4,DB,,GU,Chair and Table Storage
DB,18,1,Arrow,DB,26D,R,2 3/4,DB,,GU,Chair and Table Storage
Knob,19,1,Arrow,KIK,26D,L,2 3/4,Long,,B1,Elberta Ward Bishop
,20,1,Von Duprin,Rim,10B,R,,Rim,,Mech,S Main Entrance
,21,1,Sidro,Rim,26D,R,,Rim,,GU,SE Chapel Entrance
,22,1,Sidro,Rim,26D,L,,Rim,,GU,SW Chapel Entrance
Knob,23,1,Arrow,KIK,26D,R,2 3/4,Long,,Mech,Air Handler Closet in South Hall
Knob,24,1,Arrow,KIK,26D,L,2 3/4,Long,,A1
Knob,25,1,Arrow,KIK,26D,R,2 3/4,Long,,C1,Elberta Ward Clerk
Knob,26,1,Arrow,KIK,26D,R,2 3/4,Long,,Mech,Mechanical Closet in W Hall
Knob,27,1,Arrow,KIK,26D,R,2 3/4,Long,,FHC,Family History Center
Knob,28,1,Arrow,KIK,26D,R,2 3/4,Long,,Mech,Mechanical Room in N Hall
Knob,29,1,Arrow,KIk,26D,R,2 3/4,Long,,MC,Library Storage Rooom
Knob,30,1,Arrow,KIK,26D,L,2 3/4,Long,,MC,Library Entrance
,31,1,Sidro,Rim,26D,R,,Rim,,GU,NW Chapel Entrance
,32,2,Won Door,Mort,10B,,,AR,,GU,Chapel to Overflow Won Door
,33,2,Won Door,Mort,10B,,,AR,,GU,Overflow to Cultural Hall Won Door
,34,2,Won Door,Mort,10B,,,AR,,GU,Cultural Hall Divider Won Door
,35,1,Schlage,DB,26D,R,2 3/4,DB,,Snow,Snow Blower Shed
,36,1,Schlage,DB,10B,L,2 3/4,DB,,Snow,Single Door to Snow Blower Room
,37,1,Schlage,KIK,26D,L,2 3/4,Long,,PAV,Men's Pavilion Restroom
,38,1,Schlage,KIK,26D,R,2 3/4,Long,,PAV,Storage Closet for Tables and Chairs Pavilion
,39,1,Schlage,KIK,26D,R,2 3/4,Long,,PAV,Women's Pavilion Restroom
,40,1,Padlock,,,,,,,PAv,Rollup Door Pavilion
,41,1,Padlock,,,,,,,Mech,AC Unit
,42
,43
,44
,45
,46
,47
,48
,49
,50
,51
