Premise Site Survey Form WARDS MUST UNLOCK ALL CLOSETS

Site Name:,,,N7,,,Date:,01/19/24,,,,Install new locks on building
Purchase Order #,,,43430980,,,By:,Jay and Arin
Address,,,25 N 100 E.,,,Contact:,Jay Jones,,,,KEY CODE  4451
City State Zip,,,Levan,,,,,,,,C145

Line#,Door#,Cyl Quan,Brand,Type,Finish,Hand,Backset,Cam/Tail,Quan Keys,Key ID,Remarks,Ord,Pin,Inst
,1,1,Von Duprin,Rim,26D,L,,Rim,,GU,W Main Entrance
,2,1,Von Duprin,Rim,26D,R,,Rim,,GU,E Main Entrance
,3,1,Schlage,KIK,Copper,L,2 3/4,Medium,,GU,Interview Room by Clerk's Office
,4,1,Schlage,KIK,Copper,R,2 3/4,Medium,,C1,Levan 1st Ward Clerk,,,,
,5,1,Schlage,KIK,Copper,L,2 3/4,Medium,,B1,Levan 1st Ward Bishop
,6,1,Schlage,KIK,Copper,L,2 3/4,Long,,C2,Levan 2nd Ward Clerk
,7,1,Schlage,KIK,Copper,R,2 3/4,Long,,B2,Levan 2nd Ward Bishop
,8,1,Schlage,KIK,Copper,L,2 3/4,Medium,,Mech/AV,Door inside Sacrament Prep Room
,9,1,Sargent,Rim,Copper,L,,Rim,,GU,Chapel Entrance North Hall
,10,1,Schlage,KIL,Copper,L,2 3/4,Medium,,Mech,Mechanical Room in Coat Room
,11,1,Sargent,Rim,Copper,L,,Rim,,GU,Chapel Entrance South Hall
,12,1,Von Duprin,Rim,26D,R,,Rim,,GU,South Main Entrance
,13,2,Sargent,Rim,Copper,L/R,,Rim,,GU,East Chapel Entrance From Outside
,14,1,Schlage,KIK,Copper,L,2 3/4,Long,,MC,Library Entrance
,15,1,Schlage,KIK,Copper,R,2 3/4,Long,,MC,Library Storage Closet S102
,16,1,Schlage,KIK,Copper,R,2 3/4,Long,,Mech,Elevator Room in Basement
,17,1,Schlage,KIK,Copper,R,2 3/4,Long,,GU,RS Entrance
,18,1,Sargent,Rim,Copper,L,,Rim,,GU,RS Entrance From Outside
,19,1,Schlage,KIK,Copper,L,2 3/4,Long,,R1,RS Closet 1st Ward
,20,1,Schlage,KIK,Copper,L,2 3/4,Medium,,A1,Levan 1st Ward Primary Room Closet C
,21,1,Schlage,KIK,Copper,L,2 3/4,Medium,,Mech,Mechanical Closet in Primary Room
,22,1,Schlage,KIK,Copper,R,2 3/4,Medium,,Mech,Mechanical Closet in Primary Room
,23,1,Schlage,KIL,Copper,R,2 3/4,Medium,,Mech,Mechanical Closet in Room 109
,24,1,Schlage,KIK,Copper,R,2 3/4,Long,,Mech,Closet M101
,25,1,Schlage,KIK,Copper,R,2 3/4,Long,,A2,2nd Ward Primary Closet S101
,26,1,Sargent,Rim,Copper,L,,Rim,,GU,NE OS Entrance
,27,1,Sargent,Rim,Copper,L,,Rim,,GU,Cultural Hall to Storage Area
,28,1,Schlage,n,Copper,R,2 3/4,Medium,,GU,Table Storage in Cultural Hall Area
,29,2,Sargent,Rim,Copper,R/L,,Rim,,GU,OS Door to Cultural Hall Entrance
,30,1,Schlage,KIK,Copper,R,2 3/4,Medium,,Mech,Mechanical Door on Stage
,31,1,Schlage,KIK,Copper,L,2 3/4,Long,,GU,Platform Access
,32,1,Schlage,KIK,Copper,L,2 3/4,Long,,GU,Closet by Members' Closet Upstairs
,33,1,Schlage,KIK,Copper, L,2 3/4,Medium,,GU,Kitchen Access
,34,2,Won Door,Mort,,,,AR,,GU,Kitchen Serving Won Door
,35,1,Schlage,KIK,Copper,R,2 3/4,Medium,,R2,Closet C3
,36,1,Schlage,KIK,Copper,R,2 3/4,Medium,,A2,2nd Ward YW Closet
,37,1,Schlage,KIK,Copper,L,2 3/4,Medium,,A1,Levan 1st Ward YW Closet Top of Stairs S105
,38,1,Schlage,KIL,Copper,R,2 3/4,Medium,,Mech,Half Door in Classroom 501
,39,1,Schlage,KIK,Copper,L,2 3/4,Medium,,R1,RS at Top of Stairs Levan 1st Ward
,40,1,Padlock,,,,,Padlock,,Mech,To Roof Access West Side of Building
Lever,41,1,Schlage,KIL,10B,L,2 3/4,Medium,,Mech,Subfloor Under Church
,42,1,Padlock,,,,,Padlock,,SNOW,Snow Shed
Lever,43,1,Schlage,KIL,10B,R,2 3/4,Medium,,Mech,Back of the Snow Shed
,44,1,Schlage,KIK,Copper,R,2 3/4,Long,,Mech,OS Mech Closet on NE Corner of Church
,45
,46
,47
,48
,49
,50
,51
