Premise Site Survey Form

Site Name:,,,Delta UT Stake CTR,,,Date:,07/11/23
Purchase Order #,,,43436747,,,By:,Jay and Arin
Address,,,125 White Sage Ave,,,Contact:,Jay
City State Zip,,,Delta Ut.

Line#,Door#,Cyl Quan,Brand,Type,Finish,Hand,Backset,Cam/Tail,Quan Keys,Key ID,Remarks,Ord,Pin,Inst
E?,1,0,VD,,26D,,,,,,STAKE SUITE OS ENTRANCE
,2,1,SCHLAGE,KIL,26D,,,SHORT,,SP,STAKE PRESIDENT OFFICE
,3,1,SCHLAGE,KIL,26D,,,SHORT,,SP,STAKE PRESIDENT TO HIGH COUNCIL
,4,1,SCHLAGE,KIL,26D,,,SHORT,,HC,ROSTRUM TO STAKE SUITE
,5,1,SCHLAGE,KIL,26D,,,SHORT,,HC,HIGH COUNCIL CHAMBER FROM HALL
,6,1,SCHLAGE,KIL,26D,,,SHORT,,SC,STAKE CLERK OFFICE
,7,1,SCHLAGE,KIL,26D,,,SHORT,,HC,STAKE SUITE FROM FOYER
,8,1,SCHLAGE,KIL,26D,,,SHORT,,HC,FOYER TO HC
E,9,1,VD,RIM,26D,,,RIM,,GU,NORTH MAIN ENTRANCE
,10,1,SCHLAGE,KIL,26D,,,SHORT,,GU,S101 CLOSET ROOM
,11,1,SCHLAGE,KIL,26D,,,SHORT,,MECH,CLASSROOM 107 ENTRANCE TO MEZZANINE
,12,1,SCHLAGE,KIL,26D,,,SHORT,,MECH,OUTSIDE ENTRANCE TO MEZZANINE
,13,1,SCHLAGE,KIL,26D,,,SHORT,,SPORT,SPORT CLOSET IN CULTURAL HALL
,14,1,SCHLAGE,KIL,26D,,,SHORT,,MECH,THERMASTAT CONTROL
,15,1,SCHLAGE,DB,26D,,,DB,,BAPT,FONT FROM RS ROOM
,16,1,SCHLAGE,DB,26D,,,DB,,BAPT,MENS CHANGING TO FONT
,17,1,SCHLAGE,DB,26D,,,DB,,BAPT,WOMENS CHANGING TO FONT
E?,18,1,VD,RIM,26D,,,RIM,,GU,OUTSIDE TO FHC
,19,1,SCHLAGE,KIL,26D,,,SHORT,,FHC,FHC
,20,1,SCHLAGE,KIL,26D,,,SHORT,,MECH,WATERLINE CLOSET
,21,1,SCHLAGE,KIL,26D,,,SHORT,,MC,LIBRARY
,22,1,SCHLAGE,KIL,26D,,,SHORT,,MC,LIBRARY
E,23,1,VD,RIM,26D,,,RIM,,GU,SOUTH MAIN ENTRANCE
,24,1,SCHLAGE,KIL,26D,,,SHORT,,B1,BISHOP DELTA 5TH WARD
,25,1,SCHLAGE,KIL,26D,,,SHORT,,C1,CLERK DELTA 5TH WARD
,26,1,SCHLAGE,KIL,26D,,,SHORT,,B2,BISHOP DELTA 6TH WARD
,27,1,SCHLAGE,KIL,26D,,,SHORT,,C2,CLERK DELTA 6TH WARD
,28,1,SCHLAGE,KIL,26D,,,SHORT,,B3,BISHOP DELTA 7TH WARD
,29,1,SCHLAGE,KIL,26D,,,SHORT,,C3,CLERK DELTA 7TH WARD
,30,2,SCHLAGE,DB/KIL,26D,,,DB/SHORT,,SNO,SNOW CLOSET
,31,2,SCHLAGE,DB/KIL,26D,,,DB/SHORT,,A3,7TH WARD CLOSET
,32,2,SCHLAGE,DB/KIL,26D,,,DB/SHORT,,A2,6TH WARD CLOSET
,33,2,SCHLAGE,DB/KIL,26D,,,DB/SHORT,,A1,5TH WARD CLOSET
