Premise Site Survey Form WARDS MUST UNLOCK ALL CLOSETS

Site Name:,,,N38,,,Date:,09/30/23,,,,Install new locks on building
Purchase Order #,,,43429930,,,By:,Jay and Angel
Address,,,188 n mAIN,,,Contact:,Jay Jones,,,,Key box code 4222
City State Zip,,,HINCKLEY UT

Line#,Door#,Cyl Quan,Brand,Type,Finish,Hand,Backset,Cam/Tail,Quan Keys,Key ID,Remarks,Ord,Pin,Inst
,1,1,SCHLAGE,KIL,26D,R,2 3/4,M,,MECH,MECHANICAL AIR HANDLER TO OUTSIDE
,2,1,SCHLAGE,KIK,26D,R,2 3/4,L,,AUX1,GUNNISON BEND SCOUT CLOSET/INTERNET ROOM
,3,1,VON DUPRIN,RIM,10B,R,,RIM,,GU,MAIN ENTRANCE
,4,2,SCHLAGE,KIK/DB,O3,R,2 3/4,L/DB,,B1,GUNNISON BEND BISHOP
,5,2,SCHLAGE,KIK/DB,O3,L,2 3/4,L/DB,,C1/C2,GUNNISON BEND WARD/HINCKLEY WARD CLERK
,6,2,SCHLAGE,KIK/DB,O3,L,2 3/4,L/DB,,B2,HINCKLEY WARD BISHOP
,7,1,SCHLAGE,KIK,O3,R,2 3/4,L,,RS2,CLOSET C3
,8,1,SCHLAGE,KIK,O3,R,2 3/4,L,,AV,AUDIOVIDEO CLOSET C2
,9,1,SCHLAGE,KIK,O3,R,2 3/4,L,,AV,SOUND SYSTEM PLUS AIR HANDLER'S CLOSET C1
,10,1,SCHLAGE,KIK,O3,L,2 3/4,L,,HC,HIGH COUNSEL ROOM
,11,2,SCHLAGE,KIK/DB,O3,R,2 3/4,L/DB,,SP,STAKE PRESIDENT TO HIGH COUNSEL
,12,1,SCHLAGE,KIK,O3,R,2 3/4,L,,HC,HIGH COUNSEL TO STAKE SUITE
,13,2,SCHLAGE,KIK/DB,O3,L,2 3/4,L/DB,,SP,STAKE SUITE TO SP OFFICE
,14,1,SCHLAGE,KIK,O3,L,2 3/4,L,,HC,HALL TO STAKE SUITE
,15,2,SCHLAGE,KIK/DB,O3,R,2 3/4,L,,SC,STAKE CLERK'S OFFICE
,16,1,VON DUPRIN,RIM,10B,L,,RIM,,SC,STAKE SUITE TO OS
,17,1,SCHLAGE,KIK,O3,L,2 3/4,L,,SC,STAKE INTERVIEW ROOM B1
,18,1,SCHLAGE,KIK,O3,R,2 3/4,L,,SC,STAKE INTERVIEW ROOM B2
,19,1,SCHLAGE,KIK,O3,R,2 3/4,L,,SC,STAKE SUPPLY CLOSET B3
,20,2,SCHLAGE,KIK,O3,R,2 3/4,L/DB,,GU,OLD BISHOP'S OFFICE
,21,2,SCHLAGE,KIK,O3,R,2 3/4,L/DB,,?,STAKE CLOSET
,22,1,SCHLAGE,KIK,O3,L,2 3/4,L,,MECH,WATER VALVUE/ELECTRICAL
,23,1,SCHLAGE,KIK,O3,L,2 3/4,L,,GU,SACRAMENT PREP ROOM
,24,1,SCHLAGE,KIK,O3,L,2 3/4,L,,MC,MC TV STORAGE ROOM 2
,25,1,SCHLAGE,KIK,O3,L,2 3/4,L,,GU,ROOM A1
,26,1,VON DUPRIN,RIM,10B,R,,RIM,,GU,OUTSIDE DOOR
,27,1,SCHLAGE,KIK,O3,L,2 3/4,L,,?,CLOSET B5 STAKE
,28,1,SCHLAGE,KIK,O3,L,2 3/4,L,,GU,RS ROOM
,29,1,SCHLAGE,KIK,O3,L,2 3/4,L,,RS2,HINCKLEY WARD RS CLOSET
