Premise Site Survey Form WARDS MUST UNLOCK ALL CLOSETS

Site Name:,,,N56,,,Date:,12/06/23,,,,Install new locks on building
Purchase Order #,,,43436785,,,By:,Jay and Arin
Address,,,350 W 800 N,,,Contact:,Jay Jones,,,,KEY CODE 7508
City State Zip,,,Santaquin,,,,,,,,Keyway  C123

Line#,Door#,Cyl Quan,Brand,Type,Finish,Hand,Backset,Cam/Tail,Quan Keys,Key ID,Remarks,Ord,Pin,Inst
,1,1,Best,KIL,26D,R,2 3/4,Short,,B1,19th Ward Bishop
,2,1,Best,KIL,26D,R,2 3/4,Short,,C1,19th Ward Clerk
,3,1,Best,KIL,26D,R,2 3/4,Short,,Sport,Sports Closet
,4,1,Best,KIL,26D,L,2 3/4,Short,,Mech,On stage to upstairs,,,,
,5,1,Best,KIL,26D,R,2 3/4,Short,,GU,Table and chair storage in cultural center
,6,1,Best,KIL,26D,L,2 3/4,Short,,B2,Santaquin 7th Ward Bishop
,7,1,Best,KIL,26D,L,2 3/4,Short,,C2,Santaquin 7th Ward Clerk
,8,1,Best,KIL,26D,R,2 3/4,Short,,Mech,Hall to Fire Riser Room
,9,1,Best,KIL,26D,L,2 3/4,Short,,Mech,OS to Fire Riser Room
,10,2,Best,KIL/DB,26D,L,2 3/4,Short,,MC,Library
,11,1,Best,KIL,26D,R,2 3/4,Short,,GU,YM/YW to Kitchen
,12,1,Best,KIL,26D,R,2 3/4,Short,,B3,18th Ward Bishop
,13,1,Best,KIL,26D,R,2 3/4,Short,,C3,18th Ward Clerk
,14,1,Best,KIL,26D,L,2 3/4,Short,,B4,4th Ward Bishop
,15,1,Best,KIL,26D,L,2 3/4,Short,,C4,4th Ward Clerk
,16,1,Best,KIL,26D,R,2 3/4,Short,,AV,Door in classrooom 101 to A/V
,17,1,Best,KIL,26D,L,2 3/4,Short,,AV,Chapel to A/V
,18,1,Best,KIL,26D,R,2 3/4,Short,,A1,SE Door in Shed Santaquin 19th
,19,1,Best,KIL,26D,R,2 3/4,Short,,,NE Door in Shed
,20,1,Best,KIL,26D,L,2 3/4,Short,,SNOW,Snow Shed
,21,1,Best,KIL,26D,L,2 3/4,Short,,A3,NW Door in Shed Santaquin 18th
